NUM,Date,Site,Plot,W_N,CentralSpecies,CommonName,ScientificName,SpeciesCode,GrowthHabit,WeedList,Tier_1,Tier_2,Tier_3,Tier_4,Epiphyte,PercentCover,Status,Presence,Notes
1157,4/09/2024,Seddon,4,W,Paraserianthes lophantha,Tītoki,Alectryon excelsus,ALEexe,Tree,0,1,1,0,0,0,N/A,0,1,
1154,4/09/2024,Seddon,3,N,Native,Maeira vine,Anredera cordifolia,ANRcor,Vine,1,23,0,0,0,0,N/A,1,1,
1159,4/09/2024,Seddon,4,N,Native,Maeira vine,Anredera cordifolia,ANRcor,Vine,1,13,2,0,0,0,N/A,1,1,
933,12/05/2023,Silvana,3,W,Ligustrum lucidum,Sea Celery,Apium prostratum,APIpro,Forb,0,2,0,0,0,0,N/A,0,1,
231,23/02/2023,Ambury,1,W,Solanum mauritianum,Moth Plant,Araujia sericifera,ARAser,Vine,1,2,0,0,0,0,N/A,1,1,
233,23/02/2023,Ambury,1,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,3,3,1,1,0,N/A,1,1,
244,23/02/2023,Ambury,2,W,Solanum mauritianum,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,1,1,0,N/A,1,1,
539,24/03/2023,Sancta,2,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,2,2,2,0,0,N/A,1,1,
556,24/03/2023,Sancta,4,W,Solanum mauritianum,Moth Plant,Araujia sericifera,ARAser,Vine,1,4,4,4,2,0,N/A,1,1,
590,29/03/2023,Sancta,8,W,Solanum mauritianum,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,0,0,0,N/A,1,1,
607,29/03/2023,Sancta,10,W,Solanum mauritianum,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,0,0,0,N/A,1,1,
780,28/04/2023,Salford,4,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,,,,,,N/A,1,1,
873,4/05/2023,Salford,10,W,Ligustrum lucidum,Moth Plant,Araujia sericifera,ARAser,Vine,1,33,8,2,2,0,N/A,1,1,
879,4/05/2023,Salford,10,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,6,1,0,0,0,N/A,1,1,
953,2/01/2024,England,1,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,0,0,0,N/A,1,1,
967,2/01/2024,England,3,W,Paraserianthes lophantha,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,1,1,0,N/A,1,1,
974,2/01/2024,England,3,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,7,5,1,0,0,N/A,1,1,
1002,2/12/2024,Netball,1,W,Paraserianthes lophantha,Moth Plant,Araujia sericifera,ARAser,Vine,1,4,2,0,0,0,N/A,1,1,
1008,2/12/2024,Netball,1,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,2,2,1,1,0,N/A,1,1,
1015,2/12/2024,Netball,2,W,Paraserianthes lophantha,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,1,1,0,N/A,1,1,
1024,2/12/2024,Netball,3,W,Paraserianthes lophantha,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,1,1,0,N/A,1,1,
1046,14/02/2024,Netball,6,W,Paraserianthes lophantha,Moth Plant,Araujia sericifera,ARAser,Vine,1,9,4,3,1,0,N/A,1,1,
1054,14/02/2024,Netball,6,N,Native,Moth Plant,Araujia sericifera,ARAser,Vine,1,5,1,1,1,0,N/A,1,1,
1075,3/01/2024,Netball,8,W,Paraserianthes lophantha,Moth Plant,Araujia sericifera,ARAser,Vine,1,1,1,1,0,0,N/A,1,1,
1087,3/01/2024,Netball,10,W,Paraserianthes lophantha,Moth Plant,Araujia sericifera,ARAser,Vine,1,6,6,5,5,0,N/A,1,1,
54,26/01/2023,Felicity,1,W,Ligustrum lucidum,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,1,1,0,0,0,N/A,1,1,
76,7/02/2023,Bacon,2,W,Paraserianthes lophantha,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,1,0,0,0,0,N/A,1,1,
107,7/02/2023,Bacon,4,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,2,0,0,0,0,N/A,1,1,
115,8/02/2023,Yates,1,W,Ligustrum lucidum,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,1,0,0,0,0,N/A,1,1,
126,8/02/2023,Yates,1,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,7,2,1,0,0,N/A,1,1,
147,8/02/2023,Yates,2,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,1,1,0,0,0,N/A,1,1,
154,8/02/2023,Yates,3,W,Ligustrum lucidum,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,1,0,0,0,0,N/A,1,1,
157,8/02/2023,Yates,3,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,5,0,0,0,0,N/A,1,1,
185,10/02/2023,Todd,3,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,1,0,0,0,0,N/A,1,1,
271,13/03/2023,Spence,1,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,1,0,0,0,0,N/A,1,1,
457,21/03/2023,Nataly,1,W,Solanum mauritianum,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,7,5,2,0,0,N/A,1,1,
461,21/03/2023,Nataly,1,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,25,13,2,0,0,N/A,1,1,
472,21/03/2023,Nataly,2,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,67,20,6,3,0,N/A,1,1,
481,21/03/2023,Nataly,2,W,Paraserianthes lophantha,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,,,,,,25,1,1,25 % Ground Cover
490,21/03/2023,Nataly,3,W,Paraserianthes lophantha,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,19,12,5,0,0,N/A,1,1,
505,21/03/2023,Nataly,3,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,29,6,0,0,0,N/A,1,1,
650,14/04/2023,Cain,1,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,vine,1,1,0,0,0,0,N/A,1,1,
678,19/04/2023,Burns,1,W,Ligustrum lucidum,Climbing Asparagus,Asparagus scandens,ASPsca,vine,1,4,2,0,0,0,N/A,1,1,
685,19/04/2023,Burns,1,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,vine,1,10,3,3,0,0,N/A,1,1,
699,19/04/2023,Burns,2,W,Ligustrum lucidum,Climbing Asparagus,Asparagus scandens,ASPsca,vine,1,4,1,0,0,0,N/A,1,1,
707,19/04/2023,Burns,2,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,vine,1,4,1,1,0,0,N/A,1,1,
952,2/01/2024,England,1,N,Native,Climbing Asparagus,Asparagus scandens,ASPsca,Vine,1,3,2,0,0,0,N/A,1,1,
604,29/03/2023,Sancta,9,N,Native,Australina pusilla,Australina pusilla,AUSpus,Forb,0,1,0,0,0,0,N/A,1,1,
4,6/01/2023,Reid,1,W,Solanum mauritianum,Toe Toe,Austroderia fulvida,AUSful,Grass,0,1,1,1,1,0,N/A,0,1,
284,15/03/2023,Eirian,1,N,Native,Bamboo,Bamboo,,Grass,1,2,2,2,1,0,N/A,1,1,
843,2/05/2023,Salford,8,W,Ligustrum lucidum,Bamboo,Bamboo,,Grass,1,1,0,0,0,0,N/A,1,1,
1126,22/08/2024,Seddon,1,W,Paraserianthes lophantha,Tarairie,Beilschmiedia tarairi,BELtar,Tree,0,1,1,1,1,0,N/A,0,1,
1135,22/08/2024,Seddon,1,N,Native,Tarairie,Beilschmiedia tarairi,BEItar,Tree,0,1,1,1,1,0,N/A,0,1,
1156,4/09/2024,Seddon,4,W,Paraserianthes lophantha,Tawa,Beilschmiedia tawa,BEItaw,Tree,0,1,1,1,0,0,N/A,0,1,
398,20/03/2023,Winter,1,N,Native,Lawn Daisy,Bellis perennis,BELper,Forb,1,14,0,0,0,0,N/A,1,1,
767,28/04/2023,Salford,3,N,Native,English Daisy,Bellis perennis,BELper,Forb,1,2,0,0,0,0,N/A,1,1,
793,28/04/2023,Salford,4,N,Native,English Daisy,Bellis perennis,BELper,Forb,1,1,0,0,0,0,N/A,1,1,
816,2/05/2023,Salford,6,N,Native,English Daisy,Bellis perennis,BELper,Forb,1,1,0,0,0,0,N/A,1,1,
928,12/05/2023,Silvana,3,W,Ligustrum lucidum,English Daisy,Bellis perennis,BELper,Forb,1,1,0,0,0,0,N/A,1,1,
196,10/02/2023,Todd,4,W,Solanum mauritianum,Thread fern,Blechnum filiforme,BLEfil,Fern,0,0,0,0,0,1,N/A,0,1,
203,10/02/2023,Todd,4,N,Native,Thread fern,Blechnum filiforme,BLEfil,Fern,0,2,2,2,0,0,N/A,0,1,
35,11/01/2023,Jensen,2,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,2,1,0,0,0,N/A,0,1,
47,11/01/2023,Jensen,2,W,Paraserianthes lophantha,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,2,1,0,0,0,N/A,0,1,
109,8/02/2023,Yates,1,W,Ligustrum lucidum,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,1,1,0,0,0,N/A,0,1,
130,8/02/2023,Yates,1,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,2,2,0,0,0,N/A,0,1,
165,8/02/2023,Yates,3,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,6,4,0,0,0,N/A,0,1,
173,10/02/2023,Todd,1,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,4,4,2,0,0,N/A,0,1,
177,10/02/2023,Todd,2,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,5,5,2,0,0,N/A,0,1,
179,10/02/2023,Todd,3,W,Solanum mauritianum,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,6,6,0,0,0,N/A,0,1,
182,10/02/2023,Todd,3,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,,,,,,50,0,1,50% ground cover
193,10/02/2023,Todd,4,W,Solanum mauritianum,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,18,5,0,0,0,N/A,0,1,
204,10/02/2023,Todd,4,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,6,3,0,0,0,N/A,0,1,
218,10/02/2023,Todd,6,W,Solanum mauritianum,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,,,,,,40,0,1,40 % ground cover
227,10/02/2023,Todd,6,N,Native,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,,,,,,10,0,1,10 % Ground Cover
487,21/03/2023,Nataly,2,W,Paraserianthes lophantha,Rasp Fern,Blechnum parrisiae,BLEpar,Fern,0,1,1,0,0,0,N/A,0,1,
467,21/03/2023,Nataly,1,N,Native,Rangiora,Brachyglottis arborescens,BRAarb,Tree,0,1,1,0,0,0,N/A,0,1,
478,21/03/2023,Nataly,2,N,Native,Rangiora,Brachyglottis arborescens,BRAarb,Tree,0,1,1,1,1,0,N/A,0,1,
313,15/03/2023,Eirian,2,W,Ligustrum lucidum,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,3,1,0,0,0,N/A,1,1,
375,17/03/2023,Ambury,7,W,Solanum mauritianum,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,1,0,0,0,0,N/A,1,1,
407,20/03/2023,Winter,2,W,Solanum mauritianum,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,1,1,1,0,0,N/A,1,1,
438,20/03/2023,Winter,3,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,4,3,0,0,0,N/A,1,1,
454,20/03/2023,Winter,4,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,1,1,1,0,0,N/A,1,1,
509,24/03/2023,Sancta,1,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,5,4,4,4,0,N/A,1,1,
525,24/03/2023,Sancta,1,W,Solanum mauritianum,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,4,3,3,2,0,N/A,1,1,
529,24/03/2023,Sancta,2,W,Solanum mauritianum,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,3,2,1,0,0,N/A,1,1,
532,24/03/2023,Sancta,2,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,5,5,3,2,0,N/A,1,1,
550,24/03/2023,Sancta,3,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,1,1,0,0,0,N/A,1,1,
721,28/04/2023,Salford,1,W,Ligustrum lucidum,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,2,1,1,0,0,N/A,1,1,
1007,2/12/2024,Netball,1,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,2,1,0,0,0,N/A,1,1,
1013,2/12/2024,Netball,2,W,Paraserianthes lophantha,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,2,2,2,1,0,N/A,1,1,
1029,2/12/2024,Netball,4,W,Ligustrum lucidum,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,10,7,0,0,0,N/A,1,1,
1042,14/02/2024,Netball,6,W,Paraserianthes lophantha,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,12,4,1,1,0,N/A,1,1,
1051,14/02/2024,Netball,6,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,8,2,1,1,0,N/A,1,1,
1078,3/01/2024,Netball,8,N,Native,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,1,1,1,1,0,N/A,1,1,
1081,3/01/2024,Netball,9,W,Paraserianthes lophantha,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,1,1,0,0,0,N/A,1,1,
1098,16/07/2024,Netball,11,W,Paraserianthes lophantha,Greater Bindweed,Calystegia silvatica,CALsil,Vine,1,1,0,0,0,0,N/A,1,1,
31,11/01/2023,Jensen,1,N,Native,Sasanqua Camellia,Camellia sasanqua,N/A,Tree,0,1,1,1,1,0,N/A,1,1,
655,14/04/2023,Cain,2,W,Ligustrum lucidum,Camellia,Camellia sasanqua,N/A,Shrub,0,6,0,0,0,0,N/A,1,1,
60,26/01/2023,Felicity,1,N,Native,Putaputa weta,Carpodetus serratus,CARser,Tree,0,4,4,4,4,0,N/A,0,1,
1140,22/08/2024,Seddon,2,N,Native,Parapara,Ceodes brunoniana,CEObrun,Tree,0,1,1,1,0,0,N/A,0,1,
32,11/01/2023,Jensen,1,N,Native,Night Blooming Jasmine,Cestrum nocturnum,CESnoc,Shrub,1,2,2,2,2,0,N/A,1,1,
43,11/01/2023,Jensen,2,W,Paraserianthes lophantha,Night Blooming Jasmine,Cestrum nocturnum,CESnoc,Shrub,1,3,3,1,1,0,N/A,1,1,
418,20/03/2023,Winter,2,N,Native,Night Blooming Jasmine,Cestrum nocturnum,CESnoc,Shrub,1,2,2,1,0,0,N/A,1,1,
445,20/03/2023,Winter,4,W,Solanum mauritianum,Night Blooming Jasmine,Cestrum nocturnum,CESnoc,Shrub,1,1,1,1,0,0,N/A,1,1,
540,24/03/2023,Sancta,2,N,Native,Hemlock,Conium maculatum,CONmac,Forb,0,7,7,0,0,0,N/A,1,1,
545,24/03/2023,Sancta,3,W,Solanum mauritianum,Hemlock,Conium maculatum,CONmac,Forb,0,20,13,0,0,0,N/A,1,1,
469,21/03/2023,Nataly,1,N,Native,Shining karamu,Coprosma lucida,COPluc,Tree,0,1,1,0,0,0,N/A,0,1,
142,8/02/2023,Yates,2,W,Paraserianthes lophantha,Big-leaf Coprosma,Coprosma macrocarpa,COPmac,Tree,0,1,1,1,1,0,N/A,0,1,
293,15/03/2023,Eirian,1,N,Native,Taupata,Coprosma repens,COPrep,Tree,0,2,1,0,0,0,N/A,0,1,
363,17/03/2023,Ambury,6,W,Solanum mauritianum,Taupata,Coprosma repens,COPrep,Tree,0,1,1,0,0,0,N/A,0,1,
370,17/03/2023,Ambury,6,N,Native,Taupata,Coprosma repens,COPrep,Tree,0,1,1,1,1,0,N/A,0,1,
959,2/01/2024,England,2,W,Paraserianthes lophantha,Taupata,Coprosma repens,COPrep,Tree,0,1,1,1,1,0,N/A,0,1,
1099,16/07/2024,Netball,11,W,Paraserianthes lophantha,Taupata,Coprosma repens,COPrep,Tree,0,1,1,0,0,0,N/A,0,1,
468,21/03/2023,Nataly,1,N,Native,Coprosma rhaminoides,Coprosma rhaminoides,COPrha,Shrub,0,2,2,1,0,0,N/A,0,1,
475,21/03/2023,Nataly,2,N,Native,Coprosma rhaminoides,Coprosma rhaminoides,COPrha,Shrub,0,3,3,1,0,0,N/A,0,1,
3,6/01/2023,Reid,1,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,10,8,5,1,0,N/A,0,1,
8,6/01/2023,Reid,1,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,3,3,0,0,0,N/A,0,1,
15,6/01/2023,Reid,2,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,3,1,0,0,0,N/A,0,1,
50,26/01/2023,Felicity,1,W,Ligustrum lucidum,Karamu,Coprosma robusta,COProb,Tree,0,5,5,5,4,0,N/A,0,1,
74,7/02/2023,Bacon,2,W,Paraserianthes lophantha,Karamu,Coprosma robusta,COProb,Tree,0,5,5,3,1,0,N/A,0,1,
92,7/02/2023,Bacon,3,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,10,7,2,0,0,N/A,0,1,
98,7/02/2023,Bacon,4,W,Paraserianthes lophantha,Karamu,Coprosma robusta,COProb,Tree,0,7,3,0,0,0,N/A,0,1,
113,8/02/2023,Yates,1,W,Ligustrum lucidum,Karamu,Coprosma robusta,COProb,Tree,0,3,1,0,0,0,N/A,0,1,
135,8/02/2023,Yates,1,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,2,2,2,2,0,N/A,0,1,
141,8/02/2023,Yates,2,W,Paraserianthes lophantha,Karamu,Coprosma robusta,COProb,Tree,0,1,1,1,1,0,N/A,0,1,
289,15/03/2023,Eirian,1,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,3,2,0,0,0,N/A,0,1,
301,15/03/2023,Eirian,2,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,3,2,0,0,0,N/A,0,1,
309,15/03/2023,Eirian,1,W,Ligustrum lucidum,karamu,Coprosma robusta,COProb,Tree,0,4,4,3,0,0,N/A,0,1,
329,17/03/2023,Ambury,3,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,1,1,0,0,0,N/A,0,1,
356,17/03/2023,Ambury,5,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,2,2,0,0,0,N/A,0,1,
362,17/03/2023,Ambury,6,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,1,0,0,0,0,N/A,0,1,
393,20/03/2023,Winter,1,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,8,7,3,0,0,N/A,0,1,
411,20/03/2023,Winter,2,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,4,4,3,0,0,N/A,0,1,
431,20/03/2023,Winter,3,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,4,4,3,1,0,N/A,0,1,
441,20/03/2023,Winter,4,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,2,2,1,0,0,N/A,0,1,
450,20/03/2023,Winter,4,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,3,3,1,0,0,N/A,0,1,
473,21/03/2023,Nataly,2,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,9,1,1,1,0,N/A,0,1,
492,21/03/2023,Nataly,3,W,Paraserianthes lophantha,Karamu,Coprosma robusta,COProb,Tree,0,3,2,1,0,0,N/A,0,1,
498,21/03/2023,Nataly,3,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,34,19,3,0,0,N/A,0,1,
537,24/03/2023,Sancta,2,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,7,7,3,3,0,N/A,0,1,
549,24/03/2023,Sancta,3,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,1,1,1,1,0,N/A,0,1,
553,24/03/2023,Sancta,4,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,3,3,2,1,0,N/A,0,1,
561,24/03/2023,Sancta,5,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,2,0,0,0,0,N/A,0,1,
571,29/03/2023,Sancta,6,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,2,2,1,1,0,N/A,0,1,
578,29/03/2023,Sancta,6,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,1,1,1,0,0,N/A,0,1,
584,29/03/2023,Sancta,7,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,1,0,0,0,0,N/A,0,1,
598,29/03/2023,Sancta,8,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,3,1,1,1,0,N/A,0,1,
616,29/03/2023,Sancta,11,W,Solanum mauritianum,Karamu,Coprosma robusta,COProb,Tree,0,1,1,1,0,0,N/A,0,1,
670,14/04/2023,Cain,2,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,1,1,0,0,0,N/A,0,1,
683,19/04/2023,Burns,1,W,Ligustrum lucidum,Karamu,Coprosma robusta,COProb,Tree,0,5,4,2,1,0,N/A,0,1,
709,19/04/2023,Burns,2,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,1,1,1,1,0,N/A,0,1,
717,28/04/2023,Salford,1,W,Ligustrum lucidum,Karamu,Coprosma robusta,COProb,Tree,0,3,3,0,0,0,N/A,0,1,
731,28/04/2023,Salford,1,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,3,1,1,0,0,N/A,0,1,
742,28/04/2023,Salford,2,W,Ligustrum lucidum,Karamu,Coprosma robusta,COProb,Tree,0,1,1,1,1,0,N/A,0,1,
749,28/04/2023,Salford,3,W,Ligustrum lucidum,Karamu,Coprosma robusta,COProb,Tree,0,2,2,2,2,0,N/A,0,1,
759,28/04/2023,Salford,3,N,Native,Karamu,Coprosma robusta,COProb,Tree,0,9,5,0,0,0,N/A,0,1,
