Date,Site,Plot,Weed_Native,CentralSpecies,Height_CentralSpecies,DBH_CentralSpecies,Slope,CanopyCover_Densiometer,CanopyCover_App,Waypoint,East_Coordinates,South_Coordinates,CoverVascular,CoverNonVascular,CoverLitter,CoverBareSoil,CoverDebris,Erosion,Disturbance,Pests,LitterDepth,CoverGrass,HousingDensity,Topography,ParentMaterial,Notes
20/03/2023,Winter,4,N,Cordyline australis,3.12,6.6,2,68.11,61,136,17440.191,3656.009,79.5,0,8,7.5,5,0,0,0,1.67,N/A,168,,,Large stump in the middle of the plot (right next to central species)
21/03/2023,Nataly,1,W,Solanum mauritianum,5.5,17.35,30,84.4,88.33,137,17438.079,3658.125,9.25,0.25,60,24.25,6.25,0,1,0,3,0.1,88,,,limbs fallen into plot
21/03/2023,Nataly,1,N,Myrsine australis,5.5,17.3,30,83.36,85.666,138,17438.085,3658.117,32.5,2.5,46.25,12.5,3.75,0,0,0,2,1,88,,,
21/03/2023,Nataly,2,N,Myrsine australis,2.9,1.8,60,85.44,87,139,17438.072,3658.115,21.25,6.5,49.5,22.5,0.25,0,0,0,8.77,N/A,88,,,
21/03/2023,Nataly,2,W,Paraserianthes lophantha,3,2.7,50,86.82666,83.666,140,17438.071,3658.114,49.5,1.75,41.25,5,2.75,0,0,0,28,5,88,,,Dead pampas in the plot
21/03/2023,Nataly,3,W,Paraserianthes lophantha,3.2,28.35,50,82.67,87.67,141,17438.061,3658.118,21.25,8.75,43.75,26.25,0,0,0,0,3.67,N/A,88,,,
21/03/2023,Nataly,3,N,Myrsine australis,4.25,9.6,30,72.26,88.6666,142,17435.055,3658.117,40,0,28.75,31.25,0,0,0,0,0.8333,N/A,88,,,
24/03/2023,Sancta,1,N,Leptospermum scoparium,2.5,16.5,2,73.653,71.333,143,17454.237,3657.662,83.25,0.5,12.5,3.75,0,0,0,0,1.5,40,3,,,
24/03/2023,Sancta,1,W,Solanum mauritianum,3,8,5,75.73,85.67,145,17454.233,3657.662,70,0,27.5,2.5,0,0,0,0,6,N/A,3,,,
24/03/2023,Sancta,2,W,Solanum mauritianum,2,34.4,10,58.05,74,146,17454.229,3657.662,66.25,0,33.75,0,0,0,0,0,8.5,N/A,3,,,
24/03/2023,Sancta,2,N,Coprosma robusta,1.8,2,5,61.17,54,147,17454.231,3657.663,57.75,2.5,40,3.75,0,0,0,0,2.27,10,3,,,
24/03/2023,Sancta,3,W,Solanum mauritianum,1.59,2,40,78.506,73,148,17454.227,3657.651,78.5,0,10,11.25,0,0,0,0,2.833,35,3,,,
24/03/2023,Sancta,3,N,Coprosma robusta,2.5,29.2,3,85.093,87,149,17454.227,3657.65,66.25,0,22.5,11.25,0,0,0,1,5.5,55,3,,,Right next to the fence/lawn. Pest: trapping tunnel
24/03/2023,Sancta,4,W,Solanum mauritianum,3.4,32.5,1,76.77,87.67,150,17454.215,3657.642,80,0,16.25,3.75,0,0,0,0,2.5,N/A,3,,,Much estimating due to blackberry-limited movement
24/03/2023,Sancta,4,N,Myrsine australis,6,33.6,20,88.56,85.666,151,17454.21,3657.642,58.75,3.75,13.75,21.25,2.5,0,0,0,1.4,N/A,3,,,
24/03/2023,Sancta,5,N,Melicytus ramiflorus,2.5,2.1,1,70.19,84.3,152,17454.195,3657.661,5.25,0,94.75,0,0,0,0,0,1.77,N/A,3,,,Weed reduction cloth laid down 
24/03/2023,Sancta,5,W,Solanum mauritianum,2,30.4,1,78.853,82,153,17454.19,3657.661,4.25,0.75,95,0,0,0,1,0,30.333,N/A,3,,,Weed reduction cloth laid down . Manuka fallen over half of the plot
29/03/2023,Sancta,6,W,Solanum mauritianum,1.58,1.05,2,76.77,78.33,154,17454.183,3657.67,6.25,2.5,87,1.25,0.5,0,0,0,7.1,N/A,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,6,N,Melicytus ramiflorus,2,36.4,2,80.456,85,155,17454.178,3657.677,16.25,0,79.5,0,4.25,0,0,0,1.833,N/A,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,7,W,Solanum mauritianum,1.88,1.5,4,82.67,80.33,156,17454.185,3657.667,2.25,2.25,94.25,1.25,0,0,0,0,3.27,N/A,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,7,N,Melicytus ramiflorus,2.05,40.6,4,83.706,77,157,17454.189,3657.667,7.5,1.5,88.25,0,0.25,0,0,0,8.333,N/A,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,8,W,Solanum mauritianum,2.13,1.8,3,93.07,85,158,17454.175,3657.687,27.5,0,69.25,1.25,2,0,0,0,12,20,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,8,N,Pittosporum crassifolium,1.54,14.8,2,87.867,79.667,159,17454.174,3657.696,12.5,0.5,87,0,0,0,0,0,5.833,N/A,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,9,W,Solanum mauritianum,2.7,20.5,5,90.99,87.3,160,17454.176,3657.71,26.25,0,70,0,3.75,0,1,1,32.67,N/A,3,Beside a creek (edge of plot within a meter of the creek),,Weed reduction cloth laid down. Disturbance: Manuka fell over covering .3 of the plot. Pest: trap within 5m of the plot.
29/03/2023,Sancta,9,N,Melicytus ramiflorus,3,43.3,3,86.826,81.667,161,17454.176,3657.712,31.25,0,64.25,0,4.5,0,0,0,7.833,N/A,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,10,W,Solanum mauritianum,2.7,2.2,5,85.79,91.67,162,17454.164,3657.731,41.25,2.5,54.75,0,1.5,0,0,0,6.33,5,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,10,N,Cordyline australis,2.2,20.6,2,75.386,76.667,164,17454.162,3657.735,88.75,0,7.5,0,3.75,0,0,0,5.5,85,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,11,W,Solanum mauritianum,2,2.15,2,90.29,88.33,165,17454.164,3657.74,4,2,91.5,0,2.5,0,1,0,15.67,N/A,3,,,Weed reduction cloth laid down. Tree fell over into .25 of the plot
29/03/2023,Sancta,11,N,Sophora microphylla,1.76,0.6,1,79.547,78.333,166,17454.164,3657.741,7,1.25,90.5,0,1.25,0,0,0,7.667,N/A,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,12,W,Solanum mauritianum,1.8,1.7,1,80.93,75.67,167,17454.156,3657.766,48.33,0,51.67,0,0,0,0,0,4.4,10,3,,,Weed reduction cloth laid down 
29/03/2023,Sancta,12,N,Hedycarya arborea,3,32.8,1.5,81.473,71,168,17454.161,3657.77,76.25,0,23.75,0,0,0,0,0,2.333,N/A,3,,,Weed reduction cloth laid down 
14/04/2023,Cain,1,W,Ligustrum lucidum,2.53,1.8,5,88.9,88.333,169,17438.768,3654.824,23,2.25,51.5,5,5,0,1,1,3.5,7,210,,,Pest: Trap Disturbance: Track running through the plot
14/04/2023,Cain,1,N,Myrsine australis,2.39,12,1,87.17,86.33,170,17438.765,3654.823,45,0,55,0,0,0,0,0,8,5,210,,,
14/04/2023,Cain,2,W,Ligustrum lucidum,2.2,4.3,1,94.45,91.33,171,17438.771,3654.823,6.25,0,91.25,1.25,1.25,0,1,0,10,0,210,,,Disturbance: Lots of litter deposited in half of the plot
14/04/2023,Cain,2,N,Myrsine australis,5.5,20,20,89.25,86.333,172,17438.772,3654.822,31,1.25,34,25.5,8.25,0,1,0,4.333,0,210,,,Distubance: Fence running through the middle of the plot
19/04/2023,Burns,1,W,Ligustrum lucidum,1.87,13.2,40,86.48,86.67,173,17443.07,3636.765,32.5,0,30,32.5,5,1,0,0,2.67,0,150,,,
19/04/2023,Burns,1,N,Myrsine australis,1.9,1,40,84.75,85,174,17443.07,3636.761,45,0,36.25,17.5,1.25,1,0,0,5.33,5,150,,,
19/04/2023,Burns,2,W,Ligustrum lucidum,3,19.8,30,93.06,91.333,175,17443.066,3636.765,31.25,1.5,43.5,18.75,5,1,1,0,7.666,0,150,,,
19/04/2023,Burns,2,N,Myrsine australis,3.2,1.5,25,90.99,88.67,176,17443.065,3636.764,18.75,0.75,47.25,19.5,13.75,1,0,0,5,N/A,150,,,
28/04/2023,Salford,1,W,Ligustrum lucidum,2.5,2.3,8,80.587,78,181,17455.498,3657.936,32.5,4.75,41.25,21.5,0,0,0,0,1.333,10,132,,,
28/04/2023,Salford,1,N,Kunzea ericoides,3.5,6.4,5,85.44,78.33,182,17455.494,3657.938,18.25,2.75,67,7.5,4.5,0,0,0,1.3,N/A,132,,,Mown path adjacent to the plot
28/04/2023,Salford,2,W,Ligustrum lucidum,4.5,19.7,5,94.106,87.666,183,17455.473,3657.915,55,0,41.2,5,0,0,0,0,3.166,5,132,,,
28/04/2023,Salford,2,N,Melicytus ramiflorus,4.5,7.9,5,90.29,81,184,17455.474,3657.919,37.5,0,59,3.5,0,0,0,0,4.3,N/A,132,,,
28/04/2023,Salford,3,W,Ligustrum lucidum,2,15,7,92.72,86.3,185,17455.469,3657.915,30,0,68.25,1.75,0,0,0,0,3.67,N/A,132,,,
28/04/2023,Salford,3,N,Cordyline australis,2,4.5,2,95.84,88.67,186,17455.468,3657.917,20,0,56.25,23,0.75,0,1,0,1.3,16,132,,,
28/04/2023,Salford,4,W,Ligustrum lucidum,2.5,18.5,3,90.64,80.33,187,17455.467,3657.915,23.75,0,7.75,4.5,0,0,0,0,4.5,5,132,,,
28/04/2023,Salford,4,N,Melicytus ramiflorus,3.5,2,3,89.946,79.666,188,17455.464,3657.913,48.75,2,35,13.75,0.5,0,0,0,2.166,10,132,,,
2/05/2023,Salford,5,W,Ligustrum lucidum,2.09,1.1,3,86.83,86.67,189,17455.449,3657.907,11.25,0.5,85.75,2.5,0,0,0,0,1.83,5,132,,,
2/05/2023,Salford,5,N,Melicytus ramiflorus,2.75,3.2,2,78.16,87,190,17455.455,3657.908,25.75,0,64.5,9.75,0,0,0,0,3,20,132,,,
2/05/2023,Salford,6,W,Ligustrum lucidum,4.5,4,25,88.82,87.33,191,17455.45,3657.911,11.28,4.25,69.5,8.75,3.25,0,0,0,1.67,3,132,,,
2/05/2023,Salford,6,N,Leptospermum scoparium,6.6,27.5,25,86.83,85.67,192,17455.445,3657.911,3.2,2.25,80.75,13.75,0,0,0,0,5.6,N/A,132,,,
2/05/2023,Salford,7,W,Ligustrum lucidum,1.73,1.9,15,90.29,80.67,193,17455.439,3657.903,65,0,34.5,0.5,0,0,0,0,1.17,55,132,,,
2/05/2023,Salford,7,N,Melicytus ramiflorus,1.29,0.3,2,79.2,72.333,194,17455.44,3657.906,75,0,20,5,0,0,1,0,2.5,N/A,132,,,Central species has been cut and grew back
2/05/2023,Salford,8,W,Ligustrum lucidum,2.56,2.3,5,90.29,83.67,195,17455.429,3657.904,37.5,0.25,62.25,0,0,0,0,0,10.2,10,132,,,
2/05/2023,Salford,8,N,Cordyline australis,2.5,8.5,6,88.56,77.33,196,17455.427,3657.902,62.5,0,37.5,0,0,0,0,0,4,N/A,132,,,
4/05/2023,Salford,9,W,Ligustrum lucidum,3.04,22,7,80.93,86.33,197,17455.294,3657.008,23.75,0,75,1.25,0,0,1,0,11.4,16,132,,,Big log in the plot
4/05/2023,Salford,9,N,Melicytus ramiflorus,2.83,28.1,1,66.373,76.666,198,17455.312,3657.019,40,0,48.75,11.25,0,0,1,0,4,10,132,,,Big log in the plot
4/05/2023,Salford,10,W,Ligustrum lucidum,2.3,17,4,79.83,87.67,199,17455.307,3657.951,15,1,59,25,0,0,1,0,2.73,N/A,132,Just above the creek/ floodplain,,Fallen tree in the plot
4/05/2023,Salford,10,N,Kunzea ericoides,3,1.8,10,68.8,84.333,200,17455.308,3657.955,5.25,3.25,84.5,7,0,0,0,0,3.5,N/A,132,Just above the creek/ floodplain,,
4/05/2023,Salford,11,W,Ligustrum lucidum,4.5,6.55,3,67.98,89.33,201,17455.449,3657.893,2.75,1,67,23.75,5.5,0,1,0,2.07,N/A,132,Just above the creek/ floodplain,,Half of the plot has weed prevention mat
4/05/2023,Salford,11,N,Cordyline australis,4.5,11.4,5,85.44,79,202,17455.442,3657.892,20,7.75,65.25,1.25,5.75,0,1,0,3.666,N/A,132,Just above the creek/ floodplain,,Full plot has weed prevention mat
12/05/2023,Silvana,1,W,Paraserianthes lophantha,4,6.6,8.7,88.906,87.333,203,17455.669,3657.941,8.75,0,91.25,0,0,0,0,1,5.167,N/A,179,,,
12/05/2023,Silvana,1,N,Leptospermum scoparium,5.25,48.8,13,77.67,88.56,204,17455.666,3657.94,25,0,72.5,1.25,1.25,0,0,1,4.33,20,179,,,
12/05/2023,Silvana,2,W,Paraserianthes lophantha,6,10.5,5,88.22,75,205,17455.67,3657.941,3.5,0,96.5,0,0,0,0,0,3.67,N/A,179,,,
12/05/2023,Silvana,2,N,Leptospermum scoparium,5.25,6.1,5,75.733,78.333,206,17455.674,3657.943,65,0,29.75,0,5.25,0,0,0,2.833,0.5,179,,,
12/05/2023,Silvana,3,W,Ligustrum lucidum,3,6,1,85.78,88.333,207,17455.732,3657.958,61.25,0,25,13.75,0,0,0,0,0.67,50,179,,,
12/05/2023,Silvana,3,N,Pittosporum crassifolium,3,2,2,91.68,87,208,17455.735,3657.958,35,0,63.75,0,1.25,0,0,0,2.666666667,2.5,179,,,
1/02/2024,England,1,W,Paraserianthes lophantha,3.2,2.8,65,68.453,69.667,209,17452.48,3652.886,67.5,0,18.75,13.75,0,0,0,0,5.5,40,0,,,
1/02/2024,England,1,N,Pittosporum crassifolium,3,2,60,86.133,74.333,210,17452.478,3652.889,42.5,0,10,47.5,0,1,0,1,2.333,N/A,0,,,
1/02/2024,England,2,W,Paraserianthes lophantha,3.1,2.2,15,79.827,75.333,211,17452.493,3652.895,60,0,30,7.5,2.5,0,0,0,4,30,0,,,
1/02/2024,England,2,N,Leptospermum scoparium,2.5,5.5,15,78.507,89.667,212,17452.497,3652.897,40,0,48.75,8.75,0,0,0,0,5.833,30,0,,,
1/02/2024,England,3,W,Paraserianthes lophantha,3.5,2.8,35,90.987,86,213,17452.486,3652.895,78.75,0,12.5,8.75,0,0,0,0,7.667,65,0,,,
1/02/2024,England,3,N,Pittosporum crassifolium,3.8,27.1,25,86.827,86,214,17452.485,3652.897,58.75,0,30,11.25,0,0,0,0,3.5,N/A,0,,,
1/02/2024,England,4,W,Paraserianthes lophantha,6,6.5,25,93.067,85.333,215,17452.483,3652.891,66.25,0,12.5,21.25,0,0,0,0,4,55,0,,,
1/02/2024,England,4,N,Kunzea ericoides,4.2,8.9,15,82.32,88,216,17452.484,3652.892,6.75,0,32.5,60.75,0,0,0,0,1.833,N/A,0,,,
2/12/2024,Netball,1,W,Paraserianthes lophantha,3.1,3.6,5,75.723,83.667,217,17450.685,3653.142,28.75,0,67.5,3.75,0,0,0,0,3.333,5,65,,,
2/12/2024,Netball,1,N,Coprosma robusta,2.2,3.5,5,85.26,87.667,219,17450.681,3653.14,2.75,0,92.25,5,0,0,0,0,5.167,N/A,65,,,
2/12/2024,Netball,2,W,Paraserianthes lophantha,4,10.4,5,76.773,79.667,220,17450.667,3653.137,2.5,0,95,0,2.5,0,0,0,1.5,N/A,65,,,Soil is very hard
2/12/2024,Netball,2,N,Coprosma robusta,3,15,10,89.073,88.667,221,17450.673,3652.137,5.75,1.25,86.75,6.25,0,0,0,0,11.333,N/A,65,,,Soil is very hard
2/12/2024,Netball,3,W,Paraserianthes lophantha,3.5,4.2,5,80.24,87.667,222,17450.679,3653.143,12.5,0,76.5,10,1.25,0,0,0,2.5,N/A,65,,,
2/12/2024,Netball,3,N,Coprosma robusta,2.5,14.7,10,82.667,84.667,223,17450.678,3653.143,11.75,0,71.75,13.75,2.75,0,0,0,2.167,N/A,65,,,
2/12/2024,Netball,4,W,Ligustrum lucidum,3.1,18,5,91.64,88.667,224,17450.669,3653.136,21.25,3.75,67,3.75,4.25,0,0,0,4.5,N/A,65,,,loads of karamu seedlings and also a knife in the plot
2/12/2024,Netball,4,N,Coprosma repens 'Middlemore',2.2,80,10,73.653,85.667,225,17450.669,3653.137,9,0,48.75,42.25,0,0,0,0,1.83,N/A,65,,,
