NUM,Pot,TreatmentGroup,Exp1Group,Plant,Date1,Height1,Date2,Height2,Notes2,Date3,Height3,Notes3,Date4,Height4,Notes4,Date5,Height5,Notes5,Date6,Height6,Notes6,Date7,Height7,Notes7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,205,3,3,Privet,12/10/2023,32,14/11/2023,35.5,,12/08/2023,38,,19/01/2024,47.5,,19/02/2024,48,,19/03/2024,46.5,,19/04/2024,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,205,3,3,Nightshade,12/10/2023,38,14/11/2023,38,,12/08/2023,39.5,,19/01/2024,45,,19/02/2024,43,,19/03/2024,35,,19/04/2024,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,116,5,5,Manuka Sapling,12/10/2023,108,14/11/2023,112.5,,12/08/2023,118,,19/01/2024,123,,19/02/2024,121,,19/03/2024,117,,19/04/2024,119,mostly dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,116,5,5,Manuka Seedling,12/10/2023,49,14/11/2023,49,,12/08/2023,51,,19/01/2024,51.5,,19/02/2024,50,,19/03/2024,51.5,,19/04/2024,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,116,5,5,Wattle,11/09/2023,29.5,14/11/2023,28.5,,12/08/2023,29,,19/01/2024,27,,19/02/2024,42,,19/03/2024,31,,19/04/2024,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,116,5,5,Privet,12/10/2023,16,14/11/2023,20,,12/08/2023,27,,19/01/2024,33,,19/02/2024,43,,19/03/2024,50.5,,19/04/2024,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,31,6,6,Manuka Sapling,11/09/2023,102,14/11/2023,108.5,mostly dead,12/08/2023,109,dead,19/01/2024,97,dead,19/02/2024,96,dead,19/03/2024,97.5,dead,19/04/2024,96.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,31,6,6,Nightshade,12/10/2023,37.5,14/11/2023,31,,12/08/2023,29,,19/01/2024,34.5,,19/02/2024,36,,19/03/2024,40,,19/04/2024,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,31,6,6,Nightshade,12/10/2023,21,14/11/2023,24,,12/08/2023,9,,19/01/2024,30,,19/02/2024,19,,19/03/2024,8,,19/04/2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,31,6,6,Nightshade,12/10/2023,18,14/11/2023,19,,12/08/2023,20,,19/01/2024,18,,19/02/2024,18.5,,19/03/2024,18,,19/04/2024,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,34,3,3,Manuka Sapling,12/10/2023,66.5,14/11/2023,77,,12/08/2023,83.5,,19/01/2024,86.5,,19/02/2024,85.5,,19/03/2024,86.5,,19/04/2024,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,34,3,3,Manuka Seedling,12/10/2023,38,14/11/2023,40,,12/08/2023,40.5,,19/01/2024,42.5,,19/02/2024,42,,19/03/2024,38,,19/04/2024,37.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,34,3,3,Privet,12/10/2023,21,14/11/2023,30.5,,12/08/2023,39,,19/01/2024,50.5,,19/02/2024,58,,19/03/2024,57,,19/04/2024,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,34,3,3,Nightshade,12/10/2023,34,14/11/2023,38,,12/08/2023,44.5,,19/01/2024,41.5,,19/02/2024,45,,19/03/2024,44.5,,19/04/2024,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,247,9,2,Manuka Sapling,12/10/2023,109,14/11/2023,114.5,,12/08/2023,124,,19/01/2024,133.5,,19/02/2024,135,,19/03/2024,137,,19/04/2024,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,247,9,2,Wattle,12/10/2023,36,14/11/2023,35,,12/08/2023,34.5,,19/01/2024,34,,19/02/2024,34,,19/03/2024,33,,19/04/2024,33.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,247,9,2,Privet,12/10/2023,28,14/11/2023,39,,12/08/2023,51,,19/01/2024,52,,19/02/2024,67,,19/03/2024,77.5,,19/04/2024,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,247,9,2,Nightshade,12/10/2023,54.5,14/11/2023,53.5,,12/08/2023,59.5,,19/01/2024,64,,19/02/2024,70,,19/03/2024,73,,19/04/2024,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,1,1,Manuka Sapling,12/10/2023,93,14/11/2023,90.5,,12/08/2023,92,,19/01/2024,88,,19/02/2024,89.5,,19/03/2024,90,dead,19/04/2024,81.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6,1,1,Manuka Seedling,12/10/2023,52,14/11/2023,52,,12/08/2023,52,,19/01/2024,56.5,,19/02/2024,58,,19/03/2024,57,,19/04/2024,58,struggling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6,1,1,Manuka Seedling,12/10/2023,40.5,14/11/2023,43,,12/08/2023,52,,19/01/2024,55.5,,19/02/2024,55,,19/03/2024,55,,19/04/2024,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,1,1,Manuka Seedling,12/10/2023,36,14/11/2023,35.5,,12/08/2023,35,,19/01/2024,35.5,,19/02/2024,35.5,,19/03/2024,35,dead,19/04/2024,35.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,137,13,3,Manuka Sapling,12/10/2023,100,14/11/2023,106.5,,12/08/2023,121,,19/01/2024,126.5,,19/02/2024,131.5,,19/03/2024,135.5,,19/04/2024,137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,137,13,3,Manuka Seedling,12/10/2023,40,14/11/2023,44,,12/08/2023,48.5,,19/01/2024,50,,19/02/2024,49,,19/03/2024,48,,19/04/2024,49.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,137,13,3,Privet,12/10/2023,21,14/11/2023,30.5,,12/08/2023,43.5,,19/01/2024,47,,19/02/2024,52.5,,19/03/2024,68.5,,19/04/2024,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,137,13,3,Nightshade,12/10/2023,38,14/11/2023,41,,12/08/2023,46,,19/01/2024,50.5,,19/02/2024,49,,19/03/2024,52.5,,19/04/2024,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,176,10,2,Manuka Sapling,12/10/2023,67.5,14/11/2023,68.5,,12/08/2023,71.5,,19/01/2024,74.5,,19/02/2024,71,dead,19/03/2024,72.5,dead,19/04/2024,73.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,176,10,2,Wattle,12/10/2023,28.5,14/11/2023,31.5,,12/08/2023,32,,19/01/2024,37,,19/02/2024,37.5,,19/03/2024,38,,19/04/2024,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,176,10,2,Privet,12/10/2023,29.5,14/11/2023,41.5,,12/08/2023,44,,19/01/2024,59.5,,19/02/2024,64.5,,19/03/2024,71,,19/04/2024,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,176,10,2,Nightshade,12/10/2023,13,14/11/2023,15.5,,12/08/2023,24,,19/01/2024,23,,19/02/2024,30,,19/03/2024,30,,19/04/2024,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,193,10,2,Manuka Sapling,12/10/2023,76,14/11/2023,83.5,,12/08/2023,84.5,,19/01/2024,89,,19/02/2024,88.5,,19/03/2024,88,,19/04/2024,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,193,10,2,Wattle,11/09/2023,22,14/11/2023,22.5,,12/08/2023,18,dead,19/01/2024,68,,19/02/2024,,"dead, fell out",19/03/2024,70.5,,19/04/2024,11,"dead, fell out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,193,10,2,Privet,12/10/2023,18,14/11/2023,24.5,,12/08/2023,23,,19/01/2024,33,,19/02/2024,40,,19/03/2024,49,,19/04/2024,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,193,10,2,Nightshade,12/10/2023,13,14/11/2023,16,,12/08/2023,20,,19/01/2024,20,,19/02/2024,27.5,,19/03/2024,23,,19/04/2024,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,99,5,5,Manuka Sapling,12/10/2023,110,14/11/2023,110,,12/08/2023,122.5,flowering,19/01/2024,135,,19/02/2024,138,,19/03/2024,126.5,,19/04/2024,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,99,5,5,Manuka Seedling,12/10/2023,43,14/11/2023,45,,12/08/2023,45,,19/01/2024,43,,19/02/2024,43,dead,19/03/2024,44,dead,19/04/2024,43,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,99,5,5,Wattle,12/10/2023,59,14/11/2023,71.5,,12/08/2023,49.5,,19/01/2024,101,,19/02/2024,141,,19/03/2024,167.5,,19/04/2024,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,99,5,5,Privet,12/10/2023,25,14/11/2023,34,,12/08/2023,38,,19/01/2024,45,,19/02/2024,50,,19/03/2024,60.5,,19/04/2024,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,47,15,3,Manuka Sapling,12/10/2023,105,14/11/2023,116,,12/08/2023,123.5,,19/01/2024,126,,19/02/2024,127,,19/03/2024,125,,20/04/2024,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,47,15,3,Manuka Seedling,12/10/2023,53.5,14/11/2023,54.5,,12/08/2023,56.5,,19/01/2024,58.5,,19/02/2024,58,,19/03/2024,58,,20/04/2024,59,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,47,15,3,Privet,12/10/2023,12,14/11/2023,11.5,,12/08/2023,18,,19/01/2024,22,,19/02/2024,28,,19/03/2024,27,,20/04/2024,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,47,15,3,Nightshade,12/10/2023,43,14/11/2023,50,,12/08/2023,54,,19/01/2024,56,,19/02/2024,58,,19/03/2024,63,,20/04/2024,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,157,2,2,Manuka Sapling,12/10/2023,81,14/11/2023,84.5,,12/08/2023,87,,19/01/2024,90.5,,19/02/2024,90,,19/03/2024,91.5,,20/04/2024,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,157,2,2,Wattle,12/10/2023,25,14/11/2023,24,,12/08/2023,26.5,,19/01/2024,28,,19/02/2024,27,,19/03/2024,29,,20/04/2024,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,157,2,2,Privet,12/10/2023,22,14/11/2023,29,,12/08/2023,19,,19/01/2024,56,,19/02/2024,56,,19/03/2024,60,,20/04/2024,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,157,2,2,Nightshade,12/10/2023,53,14/11/2023,56,,12/08/2023,60,,19/01/2024,49,,19/02/2024,56,,19/03/2024,52,,20/04/2024,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,11,21,5,Manuka Sapling,12/10/2023,126,14/11/2023,128,,12/08/2023,127,,19/01/2024,133.5,,19/02/2024,136,,19/03/2024,138,,20/04/2024,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,11,21,5,Manuka Seedling,14/10/2023,42.5,14/11/2023,44,,12/08/2023,43.5,,19/01/2024,48,,19/02/2024,43,,19/03/2024,43,dead,20/04/2024,43.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,11,21,5,Wattle,14/10/2023,55,14/11/2023,62.5,,12/08/2023,80,,19/01/2024,103,,19/02/2024,143,,19/03/2024,167.5,,20/04/2024,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,11,21,5,Privet,14/10/2023,26,14/11/2023,36.5,,12/08/2023,39,,19/01/2024,60,,19/02/2024,63,,19/03/2024,62,,20/04/2024,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,93,7,7,Manuka Sapling,12/10/2023,94,14/11/2023,102.5,,12/08/2023,111.5,,19/01/2024,115,,19/02/2024,115,,19/03/2024,114.5,,20/04/2024,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,93,7,7,Wattle,11/09/2023,31,14/11/2023,29,dead,12/08/2023,27,dead,19/01/2024,27,dead,19/02/2024,19,dead,19/03/2024,16,"dead, broken",20/04/2024,16,"dead, broken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,93,7,7,Wattle,11/09/2023,,14/11/2023,24,dead,12/08/2023,20,dead,19/01/2024,19,dead,19/02/2024,,"dead, fell out",19/03/2024,,gone,20/04/2024,,gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,93,7,7,Wattle,14/10/2023,33,14/11/2023,30,given to 225,12/08/2023,?,,19/01/2024,,,19/02/2024,16.5,dead,19/03/2024,16,"dead, broken",20/04/2024,,"dead, gone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,62,2,2,Manuka Sapling,12/10/2023,105,14/11/2023,113,,12/08/2023,118.5,,19/01/2024,121,,19/02/2024,120.5,,19/03/2024,120,,20/04/2024,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,62,2,2,Manuka Seedling,14/10/2023,49,14/11/2023,50,,12/08/2023,50,,19/01/2024,50,,19/02/2024,49,,19/03/2024,48.5,,20/04/2024,50,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,62,2,2,Wattle,14/10/2023,33,14/11/2023,34,,12/08/2023,33.5,,19/01/2024,31,dead,19/02/2024,30,,19/03/2024,24.5,dead,20/04/2024,24,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,62,2,2,Privet,14/10/2023,43.5,14/11/2023,59.5,,12/08/2023,62.5,,19/01/2024,79,,19/02/2024,98,,19/03/2024,113,,20/04/2024,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,180,7,7,Manuka Sapling,12/10/2023,69,14/11/2023,73.5,,12/08/2023,79,,19/01/2024,87,,19/02/2024,90,,19/03/2024,92,,20/04/2024,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,180,7,7,Wattle,11/09/2023,25,14/11/2023,25,,12/08/2023,34.5,,19/01/2024,35,,19/02/2024,25,dead,19/03/2024,25,dead,20/04/2024,25,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,180,7,7,Wattle,14/10/2023,26,14/11/2023,24,,12/08/2023,25,,19/01/2024,23,dead,19/02/2024,18,dead,19/03/2024,19,dead,20/04/2024,16.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,180,7,7,Wattle,11/09/2023,25.5,14/11/2023,32,,12/08/2023,20,,19/01/2024,19,dead,19/02/2024,15,dead,19/03/2024,17,dead,20/04/2024,13,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,85,14,3,Manuka Sapling,12/10/2023,84,14/11/2023,91,,12/08/2023,91,,19/01/2024,106,,19/02/2024,108,,19/03/2024,110,,20/04/2024,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,85,14,3,Manuka Seedling,14/10/2023,47.5,14/11/2023,49,,12/08/2023,49,,19/01/2024,46.5,mostly dead,19/02/2024,48,dead,19/03/2024,49,dead,20/04/2024,47.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,85,14,3,Privet,14/10/2023,17.5,14/11/2023,17.5,,12/08/2023,23,,19/01/2024,36,,19/02/2024,38,,19/03/2024,36,,20/04/2024,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,85,14,3,Nightshade,14/10/2023,,14/11/2023,25,,12/08/2023,25,,19/01/2024,31,,19/02/2024,40,,19/03/2024,42,,20/04/2024,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,175,19,5,Manuka Sapling,12/10/2023,110,14/11/2023,116,,12/08/2023,121.5,mostly dead,19/01/2024,123,dead,19/02/2024,123,dead,19/03/2024,122.5,dead,20/04/2024,122,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,175,19,5,Manuka Seedling,14/10/2023,51,14/11/2023,51,,12/08/2023,52.5,,19/01/2024,59,,19/02/2024,59,,19/03/2024,58,,20/04/2024,60.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,175,19,5,Wattle,14/10/2023,19,14/11/2023,30,,12/08/2023,39,,19/01/2024,69,,19/02/2024,76,,19/03/2024,,,20/04/2024,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
