ID,CreationDate,EndOutcome,y_xy,DistanceSEA,Flowers_Seeds_PodsMothPlant,HeightMetresMothPlant,Area_m2MothPlant,OldestGrowthStageMothPlant,Flowers_Seeds_PodsGinger,Height_metresGinger,Area_m2Ginger,OldestGrowthStageGinger,Flowers_Seeds_PodsClimbingAsparagus,HeightMetresClimbingAsparagus,Area_m2ClimbingAsparagus,OldestGrowthStageClimbingAsparagus,Flowers_Seeds_PodsBushyAsparagus,HeightMetresBushyAsparagus,Area_m2BushyAsparagus,Flowers_Seeds_PodsWoolly,HeightMetresWoolly,Area_m2Woolly,OldestGrowthStageWoolly,Flowers_Seeds_PodsRhamnus,HeightMetresRhamnus,Area_m2Rhamnus,OldestGrowthStageRhamnus,Flowers_Seeds_PodsCoastalBanksia,HeightMetresCoastalBanksia,Area_m2CoastalBanksia,OldestGrowthStageCoastalBanksia,Flowers_Seeds_PodsJasmine,HeightMetresJasmine,Area_m2Jasmine,OldestGrowthStageJasmine,Flowers_Seeds_PodsBlueMorningGlory,HeightMetresBlueMorningGlory,Area_m2BlueMorningGlory,OldestGrowthStageBlueMorningGlory,Flowers_Seeds_PodsEnglishIvy,HeightMetresEnglishIvy,Area_m2EnglishIvy,OldestGrowthStageEnglishIvy,Flowers_Seeds_PodsPeriwinkle,HeightMetresPeriwinkle,Area_m2Periwinkle,Flowers_Seeds_PodsMadeiraVine,HeightMetresMadeiraVine,Area_m2MadeiraVine,OldestGrowthStageMadeiraVine,Flowers_Seeds_PodsHoneysuckle,HeightMetresHoneysuckle,Area_m2Honeysuckle,OldestGrowthStageHoneysuckle,y_xy,x,y
11,13/04/2022 23:54,S,174.7211839 -36.80230949,12.48,,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Juvenile,4-NoSignOfFlowering,1,1,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,6,Juvenile,,,,,,,,,,,,174.7211839 -36.80230949,174.7211839,-36.80230949
12,14/04/2022 0:04,S,174.720748 -36.80145863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.720748 -36.80145863,174.720748,-36.80145863
13,14/04/2022 0:14,S,174.7207955 -36.80140518,0,,,,,3-Flowers visible,2,2,Adult,4-NoSignOfFlowering,0.5,1,Juvenile,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Seedling,,,,,,,,,,,,,,,,,,,,174.7207955 -36.80140518,174.7207955,-36.80140518
14,14/04/2022 0:29,SQ,174.7210755 -36.8018808,0,4-NoSignOfFlowering,0.5,0.5,Juvenile,3-Flowers visible,2,10,Adult,,,,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,5,Adult,,,,,,,,,,,,174.7210755 -36.8018808,174.7210755,-36.8018808
15,14/04/2022 1:17,SQ,174.720846 -36.80154775,0,4-NoSignOfFlowering,0.5,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,174.720846 -36.80154775,174.720846,-36.80154775
16,14/04/2022 1:35,SQ,174.7209858 -36.80141259,0,,,,,5-Pods or Fruit forming,1,5,Adult,,,,,,,,4-NoSignOfFlowering,0.3,1,Juvenile,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,,,,,,,,,174.7209858 -36.80141259,174.7209858,-36.80141259
17,14/04/2022 1:59,SQ,174.7211695 -36.80120145,0,4-NoSignOfFlowering,1,2,Adult,5-Pods or Fruit forming,1,10,Adult,,,,,,,,4-NoSignOfFlowering,1,3,Adult,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,,,,,,,,,174.7211695 -36.80120145,174.7211695,-36.80120145
18,14/04/2022 2:25,SQ,174.7215329 -36.8008054,29.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,10,Adult,,,,,,,,,,,,174.7215329 -36.8008054,174.7215329,-36.8008054
19,14/04/2022 2:42,SQ,174.721705 -36.80059464,41.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,0.5,Adult,,,,,,,,,,,,174.721705 -36.80059464,174.721705,-36.80059464
20,14/04/2022 3:02,SQ,174.7218432 -36.80099831,0,,,,,5-Pods or Fruit forming,2,4,Adult,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,,,,,,,,174.7218432 -36.80099831,174.7218432,-36.80099831
21,19/04/2022 4:09,SQ,174.4919581 -36.84401592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,2,4,Adult,,,,,,,,,,,,,,,,,,,,174.4919581 -36.84401592,174.4919581,-36.84401592
22,19/04/2022 10:15,SQ,174.7290487 -36.81604957,0,6-Pods bursting or fruit mature,2,3,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7290487 -36.81604957,174.7290487,-36.81604957
23,19/04/2022 22:18,SQ,174.7218717 -36.80133828,0,,,,,4-NoSignOfFlowering,0.5,2,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.2,1,Adult,,,,,,,,,,,,174.7218717 -36.80133828,174.7218717,-36.80133828
24,19/04/2022 22:31,SQ,174.7219118 -36.80146078,0,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,5,Juvenile,,,,,4-NoSignOfFlowering,0.2,10,Adult,,,,,,,,,,,,174.7219118 -36.80146078,174.7219118,-36.80146078
25,19/04/2022 22:54,SQ,174.7220265 -36.80167884,0,,,,,4-NoSignOfFlowering,0.5,0.2,Juvenile,,,,,,,,4-NoSignOfFlowering,0.2,0.2,Seedling,,,,,,,,,,,,,,,,,1-Too soon to tell,0.5,1,Juvenile,,,,,,,,,,,,174.7220265 -36.80167884,174.7220265,-36.80167884
26,19/04/2022 23:29,SQ,174.7220467 -36.800958,0,5-Pods or Fruit forming,4,2,Adult,4-NoSignOfFlowering,1.5,1,Adult,4-NoSignOfFlowering,1.5,3,Adult,,,,4-NoSignOfFlowering,1,4.5,Juvenile,,,,,,,,,4-NoSignOfFlowering,4,4,Adult,,,,,4-NoSignOfFlowering,2.5,3,Adult,,,,,,,,,,,,174.7220467 -36.800958,174.7220467,-36.800958
27,19/04/2022 23:50,SQ,174.7220094 -36.80071404,40.25,4-NoSignOfFlowering,1,1,Adult,4-NoSignOfFlowering,1,1,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,3,6,Adult,,,,,,,,4-NoSignOfFlowering,0.2,2,Juvenile,174.7220094 -36.80071404,174.7220094,-36.80071404
28,20/04/2022 0:14,SQ,174.7219945 -36.80044737,67.28,,,,,4-NoSignOfFlowering,1,1,Adult,1-Too soon to tell,0.25,0.25,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,2,20,Adult,,,,,,,,,,,,174.7219945 -36.80044737,174.7219945,-36.80044737
29,20/04/2022 0:42,SQ,174.722902 -36.80022994,0,,,,,,,,,,,,,,,,1-Too soon to tell,,,,,,,,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,4-NoSignOfFlowering,0.5,0.5,Adult,,,,,,,,3-Flowers visible,2,4,Adult,174.722902 -36.80022994,174.722902,-36.80022994
30,20/04/2022 1:42,SQ,174.7240214 -36.8003913,0,6-Pods bursting or fruit mature,5,2,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,5,25,Adult,,,,,,,,,,,,174.7240214 -36.8003913,174.7240214,-36.8003913
31,20/04/2022 2:10,SQ,174.7241104 -36.80056006,22.05,6-Pods bursting or fruit mature,3,3,Adult,,,,,,,,,,,,4-NoSignOfFlowering,2.5,1,Adult,,,,,,,,,4-NoSignOfFlowering,1,2,Adult,,,,,4-NoSignOfFlowering,3,4,Adult,,,,,,,,,,,,174.7241104 -36.80056006,174.7241104,-36.80056006
32,20/04/2022 2:42,SQ,174.7235556 -36.80084937,0,4-NoSignOfFlowering,2,2,Adult,6-Pods bursting or fruit mature,3,3,Adult,4-NoSignOfFlowering,1.5,2,Adult,,,,3-Flowers visible,5,3,Adult,,,,,,,,,2-Buds forming,7,25,Adult,,,,,4-NoSignOfFlowering,1,4,Adult,,,,,,,,4-NoSignOfFlowering,3,2,Adult,174.7235556 -36.80084937,174.7235556,-36.80084937
33,20/04/2022 3:05,SQ,174.7241659 -36.80083306,0,4-NoSignOfFlowering,1,1,Adult,3-Flowers visible,3,3,Adult,,,,,,,,3-Flowers visible,2,4,Adult,,,,,,,,,4-NoSignOfFlowering,7,4,Adult,,,,,,,,,,,,,,,,,,,,174.7241659 -36.80083306,174.7241659,-36.80083306
34,20/04/2022 22:57,SQ,174.7239376 -36.80140639,0,4-NoSignOfFlowering,4,10,Seedling,4-NoSignOfFlowering,2,2,Adult,,,,,,,,6-Pods bursting or fruit mature,7,20,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,12,Adult,,,,,,,,,,,,174.7239376 -36.80140639,174.7239376,-36.80140639
35,20/04/2022 22:57,SQ,174.724368 -36.80185733,37.24,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,3-Flowers visible,1,1,3-Flowers visible,3,3,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,1,Seedling,,,,,,,,,,,,174.724368 -36.80185733,174.724368,-36.80185733
36,20/04/2022 23:45,SQ,174.7240472 -36.80199546,0,0-Don't know,,,,3-Flowers visible,2,3,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,2,Juvenile,,,,,,,,,,,,174.7240472 -36.80199546,174.7240472,-36.80199546
37,20/04/2022 23:59,SQ,174.7234982 -36.80254599,56.9,5-Pods or Fruit forming,2,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,5,Adult,,,,,4-NoSignOfFlowering,1.5,10,Adult,,,,,,,,,,,,174.7234982 -36.80254599,174.7234982,-36.80254599
38,21/04/2022 0:19,SQ,174.7229827 -36.80290566,42.4,1-Too soon to tell,0.3,0.2,Seedling,1-Too soon to tell,1.5,1,Adult,,,,,,,,3-Flowers visible,2,1,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,3,Adult,,,,,,,,5-Pods or Fruit forming,5,5,Adult,174.7229827 -36.80290566,174.7229827,-36.80290566
39,21/04/2022 0:27,S,174.7228861 -36.802684,23,5-Pods or Fruit forming,5,3,Adult,,,,,,,,,,,,3-Flowers visible,2.5,1,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,3-Flowers visible,4,15,Adult,174.7228861 -36.802684,174.7228861,-36.802684
40,21/04/2022 2:01,SQ,174.7230157 -36.80231586,16.5,5-Pods or Fruit forming,1.5,1,,,,,,,,,,,,,1-Too soon to tell,0.2,0.2,Seedling,,,,,,,,,,,,,,,,,1-Too soon to tell,0.3,1,Adult,,,,,,,,5-Pods or Fruit forming,2.5,5,Adult,174.7230157 -36.80231586,174.7230157,-36.80231586
41,21/04/2022 2:09,SQ,174.723096 -36.80219445,15.9,4-NoSignOfFlowering,1.5,2,Juvenile,,,,,,,,,,,,4-NoSignOfFlowering,1.5,1.5,Juvenile,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,5,5,Adult,,,,,,,,,,,,174.723096 -36.80219445,174.723096,-36.80219445
42,21/04/2022 2:28,S,174.7224299 -36.80253857,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,2,Juvenile,,,,,4-NoSignOfFlowering,0.5,3,Adult,,,,,,,,,,,,174.7224299 -36.80253857,174.7224299,-36.80253857
43,21/04/2022 2:41,SQ,174.7225659 -36.80284258,14.19,4-NoSignOfFlowering,0.5,2,Seedling,4-NoSignOfFlowering,1.5,2,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7225659 -36.80284258,174.7225659,-36.80284258
44,21/04/2022 22:27,SQ,174.7217017 -36.80286995,0,,,,,5-Pods or Fruit forming,2,15,Adult,,,,,,,,1-Too soon to tell,0.5,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7217017 -36.80286995,174.7217017,-36.80286995
45,21/04/2022 23:37,SQ,174.7220643 -36.80364712,0,,,,,5-Pods or Fruit forming,2,15,Adult,4-NoSignOfFlowering,1.5,2,Adult,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,3-Flowers visible,5,5,Adult,,,,,,,,,4-NoSignOfFlowering,1,3,Adult,,,,,,,,4-NoSignOfFlowering,2,2,Adult,174.7220643 -36.80364712,174.7220643,-36.80364712
46,21/04/2022 23:50,SQ,174.7221976 -36.80275147,0,,1,1,Juvenile,5-Pods or Fruit forming,2,10,Adult,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Juvenile,,,,,,,,,,2,2,Adult,,,,,,4,4,Adult,,,,,,,,,,,,174.7221976 -36.80275147,174.7221976,-36.80275147
47,21/04/2022 23:59,SQ,174.7230564 -36.8031341,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,3,Juvenile,,,,,,,,,,,,174.7230564 -36.8031341,174.7230564,-36.8031341
48,22/04/2022 0:14,SQ,174.7226959 -36.80319957,26.81,4-NoSignOfFlowering,2,6,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,1,2,Adult,174.7226959 -36.80319957,174.7226959,-36.80319957
49,22/04/2022 0:14,SQ,174.7223066 -36.80306516,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,,4,Adult,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,174.7223066 -36.80306516,174.7223066,-36.80306516
50,22/04/2022 0:40,SQ,174.7231886 -36.80311207,0,5-Pods or Fruit forming,5,5,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,,,,,174.7231886 -36.80311207,174.7231886,-36.80311207
51,22/04/2022 0:57,SQ,174.72352 -36.80287446,75.46,5-Pods or Fruit forming,2,1,Adult,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,4-NoSignOfFlowering,1,4,,,,,,,,,,,,,174.72352 -36.80287446,174.72352,-36.80287446
52,22/04/2022 0:58,SQ,174.7228155 -36.8036366,0,4-NoSignOfFlowering,3,2,Juvenile,,,,,,,,,4-NoSignOfFlowering,1,2,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,20,Adult,,,,,,,,,,,,174.7228155 -36.8036366,174.7228155,-36.8036366
53,22/04/2022 1:27,SQ,174.72352 -36.80287446,75.46,4-NoSignOfFlowering,2,2,,4-NoSignOfFlowering,1,2,Adult,,,,,,,,5-Pods or Fruit forming,1,2,Adult,,,,,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,,,Juvenile,174.72352 -36.80287446,174.72352,-36.80287446
54,22/04/2022 1:35,SQ,174.7228155 -36.8036366,0,4-NoSignOfFlowering,1.5,3,Juvenile,4-NoSignOfFlowering,1.5,3,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,,,,,174.7228155 -36.8036366,174.7228155,-36.8036366
55,22/04/2022 1:54,SQ,174.7233363 -36.80331415,0,1-Too soon to tell,0.5,1,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,3,5,Adult,,,,,,,,,,,,174.7233363 -36.80331415,174.7233363,-36.80331415
56,22/04/2022 2:27,SQ,174.7236618 -36.80326788,42.92,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,1,Adult,,,,,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,4-NoSignOfFlowering,0.3,4,Adult,,,,,,,,,,,,174.7236618 -36.80326788,174.7236618,-36.80326788
57,25/04/2022 4:25,SQ,174.7154328 -36.82021433,0,1-Too soon to tell,0.2,0.2,Seedling,,,,,4-NoSignOfFlowering,1,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,5,Adult,,,,,,,,,,,,174.7154328 -36.82021433,174.7154328,-36.82021433
58,26/04/2022 22:22,SQ,174.7238511 -36.80263706,99.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,5,Adult,,,,,6-Pods bursting or fruit mature,4,25,Adult,,,,,,,,3-Flowers visible,3,8,Adult,174.7238511 -36.80263706,174.7238511,-36.80263706
59,26/04/2022 22:39,SQ,174.7244457 -36.80218745,81.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7244457 -36.80218745,174.7244457,-36.80218745
60,26/04/2022 23:29,SQ,174.7248822 -36.80253723,130.28,6-Pods bursting or fruit mature,1,2,Adult,,,,,4-NoSignOfFlowering,0.5,0.5,Juvenile,4-NoSignOfFlowering,0.5,2,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.2,1,Juvenile,,,,,,,,,,,,174.7248822 -36.80253723,174.7248822,-36.80253723
61,26/04/2022 23:54,SQ,174.7247676 -36.80309379,93.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.2,1,Juvenile,,,,,,,,,,,,174.7247676 -36.80309379,174.7247676,-36.80309379
62,27/04/2022 0:14,SQ,174.725055 -36.80321046,87.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.725055 -36.80321046,174.725055,-36.80321046
63,27/04/2022 1:20,SQ,174.7247079 -36.80774302,46.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7247079 -36.80774302,174.7247079,-36.80774302
64,27/04/2022 1:35,SQ,174.7250476 -36.80776814,67.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,2,,Adult,174.7250476 -36.80776814,174.7250476,-36.80776814
65,27/04/2022 1:48,SQ,174.7244776 -36.80783451,25,,,,,3-Flowers visible,1.5,2,Adult,,,,,,,,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,1,Adult,174.7244776 -36.80783451,174.7244776,-36.80783451
66,27/04/2022 2:09,SQ,174.7241121 -36.80775622,0,6-Pods bursting or fruit mature,2,1,Adult,,,,,,,,,,,,4-NoSignOfFlowering,0.5,1,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7241121 -36.80775622,174.7241121,-36.80775622
67,27/04/2022 2:31,SQ,174.7238068 -36.80775593,0,4-NoSignOfFlowering,0.5,0.5,Juvenile,3-Flowers visible,4,4,Adult,,,,,,,,2-Buds forming,3,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,6,6,Adult,174.7238068 -36.80775593,174.7238068,-36.80775593
68,27/04/2022 2:52,SQ,174.7239271 -36.80781175,0,4-NoSignOfFlowering,1,1,Adult,3-Flowers visible,3,5,Adult,,,,,,,,2-Buds forming,3,4,Adult,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,4,3,Adult,,,,,,,,3-Flowers visible,5,5,Adult,174.7239271 -36.80781175,174.7239271,-36.80781175
69,27/04/2022 22:35,SQ,174.7243587 -36.80811548,20.09,,,,,5-Pods or Fruit forming,2,4,Adult,,,,,,,,3-Flowers visible,3,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,10,2,Adult,3-Flowers visible,4,4,Adult,174.7243587 -36.80811548,174.7243587,-36.80811548
70,27/04/2022 23:15,SQ,174.7242552 -36.80825394,0,4-NoSignOfFlowering,2,1,Adult,3-Flowers visible,2,10,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,4,4,Adult,4-NoSignOfFlowering,1,2,Adult,174.7242552 -36.80825394,174.7242552,-36.80825394
71,27/04/2022 23:59,SQ,174.7240389 -36.80785655,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Buds forming,4,5,Adult,,,,,174.7240389 -36.80785655,174.7240389,-36.80785655
72,28/04/2022 0:23,SQ,174.7242414 -36.80840318,0,4-NoSignOfFlowering,0.3,0.5,Juvenile,5-Pods or Fruit forming,2,20,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7242414 -36.80840318,174.7242414,-36.80840318
73,28/04/2022 0:55,SQ,174.7242971 -36.80854652,0,4-NoSignOfFlowering,0.5,1,Adult,5-Pods or Fruit forming,3,150,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,4,4,Adult,174.7242971 -36.80854652,174.7242971,-36.80854652
74,28/04/2022 2:00,SQ,174.7248345 -36.80735423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7248345 -36.80735423,174.7248345,-36.80735423
75,28/04/2022 2:21,SQ,174.7243313 -36.80724287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7243313 -36.80724287,174.7243313,-36.80724287
76,28/04/2022 2:48,SQ,174.7244719 -36.80723478,0,4-NoSignOfFlowering,0.5,0.25,Seedling,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,0.5,Juvenile,,,,,,,,,,,,,,,,,,,,174.7244719 -36.80723478,174.7244719,-36.80723478
77,28/04/2022 3:10,SQ,174.7244719 -36.80723478,0,4-NoSignOfFlowering,0.5,2,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7244719 -36.80723478,174.7244719,-36.80723478
78,28/04/2022 22:14,S,174.7254374 -36.80733319,0,,,,,5-Pods or Fruit forming,2,20,Adult,,,,,,,,3-Flowers visible,4,4,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,5,4,Adult,174.7254374 -36.80733319,174.7254374,-36.80733319
79,28/04/2022 22:32,S,174.7244719 -36.80723478,0,4-NoSignOfFlowering,2,0.5,Adult,3-Flowers visible,3,8,Adult,,,,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7244719 -36.80723478,174.7244719,-36.80723478
