CreationDate,EndOutcome,Flowers_Seeds_PodsMothPlant,HeightMetresMothPlant,Area_m2MothPlant,OldestGrowthStageMothPlant,Flowers_Seeds_PodsGinger,Height_metresGinger,Area_m2Ginger,OldestGrowthStageGinger,Flowers_Seeds_PodsClimbingAsparagus,HeightMetresClimbingAsparagus,Area_m2ClimbingAsparagus,OldestGrowthStageClimbingAsparagus,Flowers_Seeds_PodsBushyAsparagus,HeightMetresBushyAsparagus,Area_m2BushyAsparagus,Flowers_Seeds_PodsWoolly,HeightMetresWoolly,Area_m2Woolly,OldestGrowthStageWoolly,Flowers_Seeds_PodsRhamnus,HeightMetresRhamnus,Area_m2Rhamnus,OldestGrowthStageRhamnus,Flowers_Seeds_PodsCoastalBanksia,HeightMetresCoastalBanksia,Area_m2CoastalBanksia,OldestGrowthStageCoastalBanksia,Flowers_Seeds_PodsJasmine,HeightMetresJasmine,Area_m2Jasmine,OldestGrowthStageJasmine,Flowers_Seeds_PodsBlueMorningGlory,HeightMetresBlueMorningGlory,Area_m2BlueMorningGlory,OldestGrowthStageBlueMorningGlory,Flowers_Seeds_PodsEnglishIvy,HeightMetresEnglishIvy,Area_m2EnglishIvy,OldestGrowthStageEnglishIvy,Flowers_Seeds_PodsPeriwinkle,HeightMetresPeriwinkle,Area_m2Periwinkle,Flowers_Seeds_PodsMadeiraVine,HeightMetresMadeiraVine,Area_m2MadeiraVine,OldestGrowthStageMadeiraVine,Flowers_Seeds_PodsHoneysuckle,HeightMetresHoneysuckle,Area_m2Honeysuckle,OldestGrowthStageHoneysuckle,x,y
13/04/2022 22:58,SQ,4-NoSignOfFlowering,0.2,0.5,Seedling,,,,,4-NoSignOfFlowering,0.5,1,Juvenile,,,,4-NoSignOfFlowering,0.2,1,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,1,Adult,,,,,,,,,,,,174.7204354,-36.80203293
13/04/2022 23:22,SQ,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Seedling,,,,,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,,,,,,,,,174.7206789,-36.80175046
13/04/2022 23:40,SQ,,,,,,,,,4-NoSignOfFlowering,1,1,Seedling,,,,4-NoSignOfFlowering,0.5,1,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,3,Juvenile,,,,,,,,,,,,174.7209419,-36.80201894
13/04/2022 23:54,S,,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Juvenile,4-NoSignOfFlowering,1,1,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,6,Juvenile,,,,,,,,,,,,174.7211839,-36.80230949
14/04/2022 0:04,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.720748,-36.80145863
14/04/2022 0:14,S,,,,,3-Flowers visible,2,2,Adult,4-NoSignOfFlowering,0.5,1,Juvenile,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Seedling,,,,,,,,,,,,,,,,,,,,174.7207955,-36.80140518
14/04/2022 0:29,SQ,4-NoSignOfFlowering,0.5,0.5,Juvenile,3-Flowers visible,2,10,Adult,,,,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,5,Adult,,,,,,,,,,,,174.7210755,-36.8018808
14/04/2022 1:17,SQ,4-NoSignOfFlowering,0.5,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,174.720846,-36.80154775
14/04/2022 1:35,SQ,,,,,5-Pods or Fruit forming,1,5,Adult,,,,,,,,4-NoSignOfFlowering,0.3,1,Juvenile,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,,,,,,,,,174.7209858,-36.80141259
14/04/2022 1:59,SQ,4-NoSignOfFlowering,1,2,Adult,5-Pods or Fruit forming,1,10,Adult,,,,,,,,4-NoSignOfFlowering,1,3,Adult,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,,,,,,,,,174.7211695,-36.80120145
14/04/2022 2:25,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,10,Adult,,,,,,,,,,,,174.7215329,-36.8008054
14/04/2022 2:42,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,0.5,Adult,,,,,,,,,,,,174.721705,-36.80059464
14/04/2022 3:02,SQ,,,,,5-Pods or Fruit forming,2,4,Adult,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,,,,,,,,174.7218432,-36.80099831
19/04/2022 4:09,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,2,4,Adult,,,,,,,,,,,,,,,,,,,,174.4919581,-36.84401592
19/04/2022 10:15,SQ,6-Pods bursting or fruit mature,2,3,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7290487,-36.81604957
19/04/2022 22:18,SQ,,,,,4-NoSignOfFlowering,0.5,2,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.2,1,Adult,,,,,,,,,,,,174.7218717,-36.80133828
19/04/2022 22:31,SQ,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,5,Juvenile,,,,,4-NoSignOfFlowering,0.2,10,Adult,,,,,,,,,,,,174.7219118,-36.80146078
19/04/2022 22:54,SQ,,,,,4-NoSignOfFlowering,0.5,0.2,Juvenile,,,,,,,,4-NoSignOfFlowering,0.2,0.2,Seedling,,,,,,,,,,,,,,,,,1-Too soon to tell,0.5,1,Juvenile,,,,,,,,,,,,174.7220265,-36.80167884
19/04/2022 23:29,SQ,5-Pods or Fruit forming,4,2,Adult,4-NoSignOfFlowering,1.5,1,Adult,4-NoSignOfFlowering,1.5,3,Adult,,,,4-NoSignOfFlowering,1,4.5,Juvenile,,,,,,,,,4-NoSignOfFlowering,4,4,Adult,,,,,4-NoSignOfFlowering,2.5,3,Adult,,,,,,,,,,,,174.7220467,-36.800958
19/04/2022 23:50,SQ,4-NoSignOfFlowering,1,1,Adult,4-NoSignOfFlowering,1,1,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,3,6,Adult,,,,,,,,4-NoSignOfFlowering,0.2,2,Juvenile,174.7220094,-36.80071404
20/04/2022 0:14,SQ,,,,,4-NoSignOfFlowering,1,1,Adult,1-Too soon to tell,0.25,0.25,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,2,20,Adult,,,,,,,,,,,,174.7219945,-36.80044737
20/04/2022 0:42,SQ,,,,,,,,,,,,,,,,1-Too soon to tell,,,,,,,,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,4-NoSignOfFlowering,0.5,0.5,Adult,,,,,,,,3-Flowers visible,2,4,Adult,174.722902,-36.80022994
20/04/2022 1:42,SQ,6-Pods bursting or fruit mature,5,2,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,5,25,Adult,,,,,,,,,,,,174.7240214,-36.8003913
20/04/2022 1:50,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7240045,-36.80034729
20/04/2022 2:10,SQ,6-Pods bursting or fruit mature,3,3,Adult,,,,,,,,,,,,4-NoSignOfFlowering,2.5,1,Adult,,,,,,,,,4-NoSignOfFlowering,1,2,Adult,,,,,4-NoSignOfFlowering,3,4,Adult,,,,,,,,,,,,174.7241104,-36.80056006
20/04/2022 2:42,SQ,4-NoSignOfFlowering,2,2,Adult,6-Pods bursting or fruit mature,3,3,Adult,4-NoSignOfFlowering,1.5,2,Adult,,,,3-Flowers visible,5,3,Adult,,,,,,,,,2-Buds forming,7,25,Adult,,,,,4-NoSignOfFlowering,1,4,Adult,,,,,,,,4-NoSignOfFlowering,3,2,Adult,174.7235556,-36.80084937
20/04/2022 3:05,SQ,4-NoSignOfFlowering,1,1,Adult,3-Flowers visible,3,3,Adult,,,,,,,,3-Flowers visible,2,4,Adult,,,,,,,,,4-NoSignOfFlowering,7,4,Adult,,,,,,,,,,,,,,,,,,,,174.7241659,-36.80083306
20/04/2022 22:57,SQ,4-NoSignOfFlowering,4,10,Seedling,4-NoSignOfFlowering,2,2,Adult,,,,,,,,6-Pods bursting or fruit mature,7,20,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,12,Adult,,,,,,,,,,,,174.7239376,-36.80140639
20/04/2022 22:57,SQ,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,3-Flowers visible,1,1,3-Flowers visible,3,3,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,1,Seedling,,,,,,,,,,,,174.724368,-36.80185733
20/04/2022 23:26,SQ,4-NoSignOfFlowering,0.5,0.5,Seedling,3-Flowers visible,1,4,Adult,,,,,,,,4-NoSignOfFlowering,0.5,1,Juvenile,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,,,,,174.7428801,-36.87026496
20/04/2022 23:45,SQ,0-Don't know,,,,3-Flowers visible,2,3,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,2,Juvenile,,,,,,,,,,,,174.7240472,-36.80199546
20/04/2022 23:59,SQ,5-Pods or Fruit forming,2,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,5,Adult,,,,,4-NoSignOfFlowering,1.5,10,Adult,,,,,,,,,,,,174.7234982,-36.80254599
21/04/2022 0:19,SQ,1-Too soon to tell,0.3,0.2,Seedling,1-Too soon to tell,1.5,1,Adult,,,,,,,,3-Flowers visible,2,1,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,3,Adult,,,,,,,,5-Pods or Fruit forming,5,5,Adult,174.7229827,-36.80290566
21/04/2022 0:27,S,5-Pods or Fruit forming,5,3,Adult,,,,,,,,,,,,3-Flowers visible,2.5,1,Adult,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,3-Flowers visible,4,15,Adult,174.7228861,-36.802684
21/04/2022 2:01,SQ,5-Pods or Fruit forming,1.5,1,,,,,,,,,,,,,1-Too soon to tell,0.2,0.2,Seedling,,,,,,,,,,,,,,,,,1-Too soon to tell,0.3,1,Adult,,,,,,,,5-Pods or Fruit forming,2.5,5,Adult,174.7230157,-36.80231586
21/04/2022 2:09,SQ,4-NoSignOfFlowering,1.5,2,Juvenile,,,,,,,,,,,,4-NoSignOfFlowering,1.5,1.5,Juvenile,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,5,5,Adult,,,,,,,,,,,,174.723096,-36.80219445
21/04/2022 2:15,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7231034,-36.80204521
21/04/2022 2:20,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7230504,-36.80172825
21/04/2022 2:28,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,2,Juvenile,,,,,4-NoSignOfFlowering,0.5,3,Adult,,,,,,,,,,,,174.7224299,-36.80253857
21/04/2022 2:41,SQ,4-NoSignOfFlowering,0.5,2,Seedling,4-NoSignOfFlowering,1.5,2,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7225659,-36.80284258
21/04/2022 22:27,SQ,,,,,5-Pods or Fruit forming,2,15,Adult,,,,,,,,1-Too soon to tell,0.5,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7217017,-36.80286995
21/04/2022 23:37,SQ,,,,,5-Pods or Fruit forming,2,15,Adult,4-NoSignOfFlowering,1.5,2,Adult,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,3-Flowers visible,5,5,Adult,,,,,,,,,4-NoSignOfFlowering,1,3,Adult,,,,,,,,4-NoSignOfFlowering,2,2,Adult,174.7220643,-36.80364712
21/04/2022 23:50,SQ,,1,1,Juvenile,5-Pods or Fruit forming,2,10,Adult,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Juvenile,,,,,,,,,,2,2,Adult,,,,,,4,4,Adult,,,,,,,,,,,,174.7221976,-36.80275147
21/04/2022 23:59,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,3,Juvenile,,,,,,,,,,,,174.7230564,-36.8031341
22/04/2022 0:14,SQ,4-NoSignOfFlowering,2,6,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,1,2,Adult,174.7226959,-36.80319957
22/04/2022 0:14,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,,4,Adult,,,,,4-NoSignOfFlowering,1,5,Adult,,,,,,,,,,,,174.7223066,-36.80306516
22/04/2022 0:40,SQ,5-Pods or Fruit forming,5,5,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,,,,,174.7231886,-36.80311207
22/04/2022 0:57,SQ,5-Pods or Fruit forming,2,1,Adult,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,4-NoSignOfFlowering,1,4,,,,,,,,,,,,,174.72352,-36.80287446
22/04/2022 0:58,SQ,4-NoSignOfFlowering,3,2,Juvenile,,,,,,,,,4-NoSignOfFlowering,1,2,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,20,Adult,,,,,,,,,,,,174.7228155,-36.8036366
22/04/2022 1:27,SQ,4-NoSignOfFlowering,2,2,,4-NoSignOfFlowering,1,2,Adult,,,,,,,,5-Pods or Fruit forming,1,2,Adult,,,,,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,,,Juvenile,174.72352,-36.80287446
22/04/2022 1:35,SQ,4-NoSignOfFlowering,1.5,3,Juvenile,4-NoSignOfFlowering,1.5,3,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,,,,,174.7228155,-36.8036366
22/04/2022 1:54,SQ,1-Too soon to tell,0.5,1,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,3,5,Adult,,,,,,,,,,,,174.7233363,-36.80331415
22/04/2022 2:27,SQ,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,1,Adult,,,,,,,,,4-NoSignOfFlowering,2,4,Adult,,,,,4-NoSignOfFlowering,0.3,4,Adult,,,,,,,,,,,,174.7236618,-36.80326788
25/04/2022 4:25,SQ,1-Too soon to tell,0.2,0.2,Seedling,,,,,4-NoSignOfFlowering,1,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,5,Adult,,,,,,,,,,,,174.7154328,-36.82021433
26/04/2022 22:07,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7236759,-36.80295176
26/04/2022 22:22,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,3,5,Adult,,,,,6-Pods bursting or fruit mature,4,25,Adult,,,,,,,,3-Flowers visible,3,8,Adult,174.7238511,-36.80263706
26/04/2022 22:39,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7244457,-36.80218745
26/04/2022 23:29,SQ,6-Pods bursting or fruit mature,1,2,Adult,,,,,4-NoSignOfFlowering,0.5,0.5,Juvenile,4-NoSignOfFlowering,0.5,2,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.2,1,Juvenile,,,,,,,,,,,,174.7248822,-36.80253723
26/04/2022 23:35,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7249593,-36.80275038
26/04/2022 23:54,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.2,1,Juvenile,,,,,,,,,,,,174.7247676,-36.80309379
27/04/2022 0:14,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.725055,-36.80321046
27/04/2022 1:20,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7247079,-36.80774302
27/04/2022 1:35,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,2,,Adult,174.7250476,-36.80776814
27/04/2022 1:48,SQ,,,,,3-Flowers visible,1.5,2,Adult,,,,,,,,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,1,Adult,174.7244776,-36.80783451
27/04/2022 2:09,SQ,6-Pods bursting or fruit mature,2,1,Adult,,,,,,,,,,,,4-NoSignOfFlowering,0.5,1,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7241121,-36.80775622
27/04/2022 2:31,SQ,4-NoSignOfFlowering,0.5,0.5,Juvenile,3-Flowers visible,4,4,Adult,,,,,,,,2-Buds forming,3,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,6,6,Adult,174.7238068,-36.80775593
27/04/2022 2:52,SQ,4-NoSignOfFlowering,1,1,Adult,3-Flowers visible,3,5,Adult,,,,,,,,2-Buds forming,3,4,Adult,,,,,,,,,,,,,,,,,5-Pods or Fruit forming,4,3,Adult,,,,,,,,3-Flowers visible,5,5,Adult,174.7239271,-36.80781175
27/04/2022 22:35,SQ,,,,,5-Pods or Fruit forming,2,4,Adult,,,,,,,,3-Flowers visible,3,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,10,2,Adult,3-Flowers visible,4,4,Adult,174.7243587,-36.80811548
27/04/2022 23:15,SQ,4-NoSignOfFlowering,2,1,Adult,3-Flowers visible,2,10,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,4,4,Adult,4-NoSignOfFlowering,1,2,Adult,174.7242552,-36.80825394
27/04/2022 23:59,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Buds forming,4,5,Adult,,,,,174.7240389,-36.80785655
28/04/2022 0:23,SQ,4-NoSignOfFlowering,0.3,0.5,Juvenile,5-Pods or Fruit forming,2,20,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7242414,-36.80840318
28/04/2022 0:55,SQ,4-NoSignOfFlowering,0.5,1,Adult,5-Pods or Fruit forming,3,150,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,4,4,Adult,174.7242971,-36.80854652
28/04/2022 2:00,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7248345,-36.80735423
28/04/2022 2:21,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7243313,-36.80724287
28/04/2022 2:48,SQ,4-NoSignOfFlowering,0.5,0.25,Seedling,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,0.5,Juvenile,,,,,,,,,,,,,,,,,,,,174.7244719,-36.80723478
28/04/2022 3:10,SQ,4-NoSignOfFlowering,0.5,2,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7244719,-36.80723478
28/04/2022 22:14,S,,,,,5-Pods or Fruit forming,2,20,Adult,,,,,,,,3-Flowers visible,4,4,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,5,4,Adult,174.7254374,-36.80733319
28/04/2022 22:32,S,4-NoSignOfFlowering,2,0.5,Adult,3-Flowers visible,3,8,Adult,,,,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7244719,-36.80723478
28/04/2022 22:53,SQ,,,,,4-NoSignOfFlowering,1,1,Adult,,,,,,,,4-NoSignOfFlowering,1,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,2,2,Adult,174.7244719,-36.80723478
28/04/2022 23:01,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7251257,-36.80427987
28/04/2022 23:17,SQ,,,,,1-Too soon to tell,0.2,0.2,Seedling,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,3,Adult,,,,,,,,,,,,,,,,4-NoSignOfFlowering,,1,Juvenile,174.7251459,-36.80442601
28/04/2022 23:21,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,1,Adult,,,,,,,,,,,,,,,,,,,,174.7249889,-36.80832037
28/04/2022 23:35,S,1-Too soon to tell,0.2,0.2,Seedling,1-Too soon to tell,0.3,0.3,Seedling,4-NoSignOfFlowering,0.5,5,Juvenile,,,,4-NoSignOfFlowering,0.3,0.5,Seedling,,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Juvenile,,,,,4-NoSignOfFlowering,,,,,,,,,,,1-Too soon to tell,1,0.5,Juvenile,174.7248677,-36.8044232
28/04/2022 23:38,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7245491,-36.80443665
28/04/2022 23:56,SQ,,,,,4-NoSignOfFlowering,1,7,Juvenile,4-NoSignOfFlowering,0.5,0.5,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7250546,-36.80457919
28/04/2022 23:57,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7250589,-36.80464285
28/04/2022 23:58,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7251104,-36.80457676
29/04/2022 0:11,SQ,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,0.3,Seedling,,,,,,,,,,,,,4-NoSignOfFlowering,3,3,Juvenile,,,,,,,,,,,,,,,,174.7252624,-36.80469018
29/04/2022 0:14,SQ,6-Pods bursting or fruit mature,3,20,Adult,2-Buds forming,2,3,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,20,Adult,,,,,,,,,,,,174.725521,-36.80857625
29/04/2022 0:20,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7252624,-36.80469018
29/04/2022 0:21,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7252624,-36.80469018
29/04/2022 0:28,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7251583,-36.80490461
29/04/2022 0:52,SQ,1-Too soon to tell,0.3,1,Seedling,5-Pods or Fruit forming,1,2,Adult,,,,,,,,,,,,,,,,,,,,,,,,3-Flowers visible,4,5,Adult,5-Pods or Fruit forming,2,2,Adult,,,,,,,,,,,,174.7252712,-36.80482278
29/04/2022 1:41,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7254146,-36.80937121
